chunking_method,retrieval_type,bias_config,pass_at_1,pass_at_2,pass_at_3,pass_at_4,pass_at_5,pass_at_10,pass_at_20,avg_retrieval_time,peak_memory_mb
structured_agent_tinfoil_medical,pure_rag,healthify_focused,0.24,0.29,0.32,0.355,0.385,0.73,0.73,0.0019,202.8
structured_agent_tinfoil_medical,pure_rag,diverse,0.24,0.29,0.32,0.355,0.59,0.73,0.73,0.002,0.0
structured_agent_tinfoil_medical,contextual_rag,diverse,0.24,0.275,0.32,0.355,0.595,0.77,0.77,0.0343,0.5
structured_agent_tinfoil_medical,contextual_rag,healthify_focused,0.22,0.28,0.325,0.35,0.39,0.75,0.75,0.0333,6.1
structured_agent_qwen3_4b_medical,contextual_rag,healthify_focused,0.205,0.25,0.305,0.345,0.36,0.675,0.675,0.0289,0.0
structured_agent_qwen3_4b_medical,contextual_rag,diverse,0.205,0.265,0.32,0.33,0.495,0.645,0.645,0.0286,6.8
contextual_fixed_c512_o100,contextual_rag,healthify_focused,0.23,0.295,0.315,0.325,0.33,0.645,0.645,0.997,0.0
paragraph_m100,contextual_rag,healthify_focused,0.2,0.255,0.3,0.325,0.345,0.62,0.62,0.056,29.9
paragraph_m25,contextual_rag,healthify_focused,0.2,0.255,0.3,0.325,0.345,0.62,0.62,0.0553,102.7
paragraph_m50,contextual_rag,healthify_focused,0.2,0.255,0.3,0.325,0.345,0.62,0.62,0.0555,0.0
